team,season,posicion,puntos,jugados,ganados,empatados,perdidos,goles_favor,goles_contra,diferencia,forma
Boca Juniors,2026,14,0,1,0,0,1,0,3,-3,
Estudiantes de La Plata,2026,12,0,1,0,0,1,0,2,-2,
Independiente,2026,2,6,2,2,0,0,3,0,3,
Lanús,2026,5,3,1,1,0,0,1,0,1,
Newell's Old Boys,2026,8,3,2,1,0,1,1,1,0,
San Lorenzo,2026,7,3,2,1,0,1,1,1,0,
Talleres (Córdoba),2026,13,0,2,0,0,2,1,4,-3,
Unión (Santa Fe),2026,10,1,1,0,1,0,2,2,0,
Vélez Sarsfield,2026,1,6,2,2,0,0,4,1,3,
Instituto (Córdoba),2026,6,3,2,1,0,1,2,2,0,
Platense,2026,11,1,2,0,1,1,3,4,-1,
Defensa y Justicia,2026,3,4,2,1,1,0,3,2,1,
Gimnasia (Mendoza),2026,9,3,2,1,0,1,1,1,0,
Central Córdoba (Santiago del Estero),2026,15,0,2,0,0,2,0,3,-3,
Deportivo Riestra,2026,4,3,2,1,0,1,4,2,2,
Argentinos Juniors,2026,1,6,2,2,0,0,6,2,4,
Belgrano (Córdoba),2026,6,3,1,1,0,0,2,1,1,
Gimnasia La Plata,2026,8,3,2,1,0,1,2,2,0,
Huracán,2026,9,3,2,1,0,1,2,2,0,
Racing Club,2026,5,4,2,1,1,0,2,1,1,
River Plate,2026,15,0,2,0,0,2,0,2,-2,
Rosario Central,2026,11,1,2,0,1,1,1,2,-1,
Banfield,2026,7,3,2,1,0,1,3,3,0,
Tigre,2026,13,0,1,0,0,1,0,1,-1,
Aldosivi,2026,12,1,2,0,1,1,1,2,-1,
Independiente Rivadavia,2026,4,4,2,1,1,0,2,1,1,
Atlético Tucumán,2026,3,4,2,1,1,0,2,0,2,
Barracas Central,2026,2,6,2,2,0,0,2,0,2,
Sarmiento (Junín),2026,14,0,2,0,0,2,4,6,-2,
Estudiantes de Río Cuarto,2026,10,3,2,1,0,1,1,3,-2,
