match_id,team,total_distance_km,high_intensity_distance_m,sprint_distance_m,sprint_count,top_speed_kmh,source,source_url,retrieved_at
20260019,Argentina,108.39,6139.4,1760.1,369.0,33.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,107.58,6471.7,1423.0,401.0,33.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260043,Argentina,104.37,6292.9,1764.0,363.0,33.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Austria,107.77,6682.6,1743.1,403.0,34.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260070,Jordan,110.61,6380.0,1455.0,397.0,33.4,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M70-JOR-V-ARG.pdf,2026-07-08T13:12:07.567790+00:00
20260070,Argentina,105.9,6153.6,1473.0,367.0,35.2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M70-JOR-V-ARG.pdf,2026-07-08T13:12:07.567790+00:00
20260086,Argentina,140.62,7895.3,1738.3,474.0,33.5,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M86-ARG-V-CPV.pdf,2026-07-08T13:35:15.920526+00:00
20260086,Cabo Verde,141.24,7835.2,2143.4,474.0,33.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M86-ARG-V-CPV.pdf,2026-07-08T13:35:15.920526+00:00
20260095,Argentina,110.43,7440.2,1946.1,432.0,33.4,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M95-ARG-V-EGY.pdf,2026-07-08T13:35:15.920526+00:00
20260095,Egypt,115.94,7576.2,1892.0,429.0,33.4,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M95-ARG-V-EGY.pdf,2026-07-08T13:35:15.920526+00:00
20260001,Mexico,107.31,7032.9,1762.0,422.0,33.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01 MEX V RSA.pdf,2026-07-08T13:35:15.920526+00:00
20260001,South Africa,97.06,6855.0,1773.8,435.0,34.4,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01 MEX V RSA.pdf,2026-07-08T13:35:15.920526+00:00
20260002,Korea Republic,111.81,7416.8,1977.6,434.0,35.2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02 KOR V CZE .pdf,2026-07-08T13:35:15.920526+00:00
20260002,Czechia,117.63,7712.0,1691.5,472.0,34.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02 KOR V CZE .pdf,2026-07-08T13:35:15.920526+00:00
20260003,Canada,111.34,8403.9,2628.1,452.0,34.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,2026-07-08T13:35:15.920526+00:00
20260003,Bosnia and Herzegovina,109.53,7658.8,2442.0,397.0,34.8,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,2026-07-08T13:35:15.920526+00:00
20260004,USA,119.91,8075.6,1885.5,511.0,34.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,2026-07-08T13:35:15.920526+00:00
20260004,Paraguay,114.31,7777.0,1704.9,466.0,33.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,2026-07-08T13:35:15.920526+00:00
20260005,Haiti,113.74,7598.9,1692.2,452.0,34.2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,2026-07-08T13:35:15.920526+00:00
20260005,Scotland,117.57,8140.1,2265.2,446.0,32.9,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,2026-07-08T13:35:15.920526+00:00
20260006,Australia,116.63,7842.4,2225.9,418.0,36.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,2026-07-08T13:35:15.920526+00:00
20260006,Türkiye,112.45,7033.3,1939.4,430.0,34.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,2026-07-08T13:35:15.920526+00:00
20260007,Brazil,113.66,8824.6,2015.7,509.0,34.1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR POST-V2.pdf,2026-07-08T13:35:15.920526+00:00
20260007,Morocco,114.9,8764.9,2307.7,489.0,33.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR POST-V2.pdf,2026-07-08T13:35:15.920526+00:00
